nom,ville,capacite,latitude,longitude,quantite,requete,derniere collecte,horaires
ELDORA D'OZ,LYON,10,45.778564,4.8047629,9,1,1,"[[9, 10], [13, 20]]"
PRAIRIAL,VAULX-EN-VELIN,13,45.7670877,4.9272064,6,2,4,"[[7, 9], [15, 16]]"
3 PTITS POIS,LYON,15,45.7483398,4.8392996,8,0,3,"[[9, 12], [19, 20]]"
BIERISTAN,VILLEURBANNE,10,45.7679074,4.8835417,2,0,2,"[[7, 9], [12, 13]]"
PASSION BIERES,MEYZIEU,12,45.7773144,4.9929864,10,2,4,"[[6, 7], [16, 17], [21, 22]]"
UNE CAVE A BRON,BRON,16,45.7357837,4.9105272,16,0,1,"[[9, 17]]"
EPICERIE PATATE,LYON,10,45.7663633,4.8199289,6,0,2,"[[10, 11]]"
LA SUPER HALLE,OULLINS,17,45.7129832,4.8200938,0,0,2,"[[10, 11], [15, 19]]"
MAISON COURGETTE,LYON,10,45.779841,4.8322747,0,0,3,"[[10, 22]]"
VRAC EN VILL',VILLEURBANNE,12,45.7636366,4.8711073,3,1,3,"[[10, 12]]"
CHEZ GAELLE,CORBAS,6,45.6714836,4.8998904,0,2,2,"[[10, 12], [13, 21]]"
BIOCOOP VENDOME,LYON,14,45.7601629,4.8467851,0,0,3,"[[8, 9], [14, 17]]"
TOUT PART EN VRAC,SAINT-GENIS-LAVAL,0,45.6951848,4.7935316,0,0,3,"[[10, 12], [14, 15]]"
DEMAIN EPICERIE,LYON,20,45.7291997,4.8299657,11,0,1,"[[10, 12], [18, 21]]"
BIOCOOP MONTEE DES SOLDATS,CALUIRE-ET-CUIRE,40,45.7978637,4.8516281,17,0,2,"[[10, 12], [14, 20]]"
EPICENTRE,LYON,10,45.7377321,4.8522471,1,2,2,"[[10, 12], [14, 19]]"
BANASTOU ET FOURQUET,LYON,12,45.7565597,4.8429833,6,1,1,"[[10, 12], [17, 21]]"
BOULANGERIE TATUP,AMBERIEU-EN-BUGEY,40,45.9729539,5.352279,34,2,4,"[[7, 10], [13, 16], [18, 22]]"
BIOCOOP GRATTE-CIEL,VILLEURBANNE,24,45.7694017,4.8808049,22,1,4,"[[8, 9], [16, 17], [18, 21]]"
BIOCOOP AU P'TIT BIONHEUR,RIVE-DE-GIER,24,45.5259174,4.6083249,17,3,4,"[[7, 9], [15, 19], [21, 22]]"
DE L'AUTRE CÔTE DE LA RUE,LYON,10,45.756448,4.8430183,8,3,2,"[[9, 12], [13, 18]]"
SATORIZ SAINT-ETIENNE,SAINT-ETIENNE,40,45.443142,4.4241536,6,1,1,"[[15, 20]]"
BIOCOOP LE VERT DE TERRE,AMBERIEU-EN-BUGEY,30,45.9729539,5.352279,17,0,4,"[[9, 12], [20, 21]]"
EPICERIE RENARD,OULLINS,12,45.7154238,4.808406,5,0,4,"[[6, 9], [10, 20]]"
BIOCOOP LUMIERE,LYON,14,45.7448492,4.8668437,9,0,2,"[[9, 10], [11, 14]]"
BIOCOOP BROTTEAUX,LYON,12,45.7641615,4.8581132,8,0,2,"[[9, 11], [17, 18], [21, 22]]"
BIOCOOP SAXE GAMBETTA,LYON,14,45.7526794,4.8464976,10,0,3,"[[10, 11], [18, 20]]"
BIOCOOP BIOPLAISIR TASSIN,TASSIN-LA-DEMI-LUNE,12,45.757844,4.7736983,6,1,3,"[[9, 10], [11, 12]]"
BIOCOOP LE BARABAN,VILLARS,12,45.4696496,4.3652393,1,0,1,"[[10, 11], [14, 20]]"
BIOCOOP FOREZ BIO,SAVIGNEUX,20,45.6107723,4.0965493,3,0,1,"[[16, 22]]"
BIOCOOP BONSON (BIOCOCCINELLE),BONSON,0,45.5264065,4.2326711,0,0,4,"[[6, 10], [16, 21]]"
BIOCOOP SORBIERS,SORBIERS,20,45.4806724,4.4443058,7,0,2,"[[9, 20]]"
BIOCOOP LES ARCADES,SAINT-ETIENNE,12,45.4402292,4.3867733,0,0,1,"[[6, 11], [15, 17]]"
BIOCOOP LES ARTISONS,FIRMINY,20,45.390511,4.2762888,6,1,4,"[[8, 11], [19, 20]]"
BIOCOOP CHAZELLES,CHAZELLES,30,45.6379867,4.3894748,29,0,1,"[[8, 9], [19, 21]]"
BIOCOOP LE PETIT VERT,MABLY,35,46.0674114,4.0507627,14,0,1,"[[8, 11]]"
BIOCOOP BOURGUIBIO,BOURG-ARGENTAL,2,45.2963264,4.5624166,1,0,3,"[[11, 17]]"
BIOCOOP KENNEDY,BOURG-EN-BRESSE,20,46.2062855,5.240692,2,0,3,"[[10, 11], [15, 16]]"
BIOCOOP TERRA NAT,MEXIMIEUX,20,45.9016051,5.1994242,5,1,4,"[[7, 22]]"
BIOCOOP MONTERNOZ,PERONNAS,20,46.1703989,5.1955192,10,0,2,"[[16, 23]]"
